index_name,tradedate,open,high,low,close
N500LOWVOL 50,2015-09-03,5616.63,5680.31,5616.63,5680.31
NSE500,2015-09-03,6523.45,6580.75,6515.45,6560.05
N500VALUE 50,2015-09-03,3252.75,3306.46,3252.75,3306.46
N500MOM 50,2015-09-04,9898.29,9898.29,9653.49,9653.49
N500VALUE 50,2015-09-04,3306.46,3306.46,3224.39,3224.39
NSE500,2015-09-04,6548.45,6548.45,6392.85,6421.05
N500Q 50,2015-09-04,5907.98,5907.98,5806.54,5806.54
N500LOWVOL 50,2015-09-04,5680.31,5680.31,5566.14,5566.14
N500LOWVOL 50,2015-09-07,5566.14,5566.14,5497.16,5497.16
NSE500,2015-09-07,6444.8,6458.6,6316.7,6323.4
N500Q 50,2015-09-07,5806.54,5806.54,5697.02,5697.02
N500VALUE 50,2015-09-07,3224.39,3224.39,3158.35,3158.35
N500MOM 50,2015-09-07,9653.49,9653.49,9409.4,9409.4
N500Q 50,2015-09-08,5697.02,5708.25,5697.02,5708.25
N500VALUE 50,2015-09-08,3158.35,3195.41,3158.35,3195.41
N500LOWVOL 50,2015-09-08,5497.16,5551.5,5497.16,5551.5
NSE500,2015-09-08,6344.85,6436.1,6286.7,6407.0
N500MOM 50,2015-09-08,9409.4,9476.6,9409.4,9476.6
N500VALUE 50,2015-09-09,3195.41,3277.49,3195.41,3277.49
NSE500,2015-09-09,6501.75,6545.0,6480.9,6522.3
N500Q 50,2015-09-09,5708.25,5786.91,5708.25,5786.91
N500LOWVOL 50,2015-09-09,5551.5,5646.47,5551.5,5646.47
N500MOM 50,2015-09-09,9476.6,9683.34,9476.6,9683.34
N500VALUE 50,2015-09-10,3277.49,3277.49,3254.47,3254.47
NSE500,2015-09-10,6447.4,6526.0,6403.95,6504.5
N500MOM 50,2015-09-10,9683.34,9694.81,9683.34,9694.81
N500LOWVOL 50,2015-09-10,5646.47,5646.47,5630.24,5630.24
N500Q 50,2015-09-10,5786.91,5786.91,5756.33,5756.33
N500LOWVOL 50,2015-09-11,5630.24,5636.2,5630.24,5636.2
NSE500,2015-09-11,6544.7,6566.25,6491.65,6511.55
N500VALUE 50,2015-09-11,3254.47,3258.17,3254.47,3258.17
N500MOM 50,2015-09-11,9694.81,9793.71,9694.81,9793.71
N500Q 50,2015-09-11,5756.33,5770.45,5756.33,5770.45
N500Q 50,2015-09-14,5770.45,5830.27,5770.45,5830.27
N500LOWVOL 50,2015-09-14,5636.2,5691.66,5636.2,5691.66
NSE500,2015-09-14,6536.2,6586.65,6504.4,6582.7
N500MOM 50,2015-09-14,9793.71,9863.56,9793.71,9863.56
N500VALUE 50,2015-09-14,3258.17,3322.12,3258.17,3322.12
N500MOM 50,2015-09-15,9863.56,9863.56,9785.83,9785.83
N500VALUE 50,2015-09-15,3322.12,3322.12,3268.87,3268.87
N500LOWVOL 50,2015-09-15,5691.66,5691.66,5681.56,5681.56
N500Q 50,2015-09-15,5830.27,5830.27,5829.57,5829.57
NSE500,2015-09-15,6583.65,6595.3,6523.85,6543.25
N500LOWVOL 50,2015-09-16,5681.56,5723.59,5681.56,5723.59
NSE500,2015-09-16,6589.7,6590.15,6549.2,6571.6
N500VALUE 50,2015-09-16,3268.87,3268.87,3231.68,3231.68
N500MOM 50,2015-09-16,9785.83,9785.83,9688.35,9688.35
N500Q 50,2015-09-16,5829.57,5843.31,5829.57,5843.31
NSE500,2015-09-18,6628.15,6694.6,6626.25,6636.95
N500VALUE 50,2015-09-18,3231.68,3289.87,3231.68,3289.87
N500LOWVOL 50,2015-09-18,5723.59,5782.67,5723.59,5782.67
N500MOM 50,2015-09-18,9688.35,9739.2,9688.35,9739.2
N500Q 50,2015-09-18,5843.31,5890.66,5843.31,5890.66
N500Q 50,2015-09-21,5890.66,5897.23,5890.66,5897.23
N500LOWVOL 50,2015-09-21,5782.67,5782.67,5781.64,5781.64
NSE500,2015-09-21,6586.8,6654.5,6586.15,6647.15
N500MOM 50,2015-09-21,9739.2,9790.83,9739.2,9790.83
N500VALUE 50,2015-09-21,3289.87,3354.22,3289.87,3354.22
NSE500,2015-09-22,6680.3,6686.6,6512.8,6528.55
N500MOM 50,2015-09-22,9790.83,9790.83,9692.64,9692.64
N500Q 50,2015-09-22,5897.23,5897.23,5829.4,5829.4
N500VALUE 50,2015-09-22,3354.22,3354.22,3305.98,3305.98
